cc_model,scenario,ensemble,NSE,MSE,PBIAS,RMSE,std,correlation
ACCESS-CM2,historical,r3i1p1f1,-0.2672817440187545,20734.98136416964,-4.503830997288025,143.99646302659534,110.4199702686154,0.4276858028621028
ACCESS-ESM1-5,historical,r5i1p1f1,-0.7845024685912412,28332.20170965696,-6.4781429580580445,168.32172084926225,111.95520291261812,0.1434701783017117
AWI-CM-1-1-MR,historical,r3i1p1f1,-1.006173507841703,29546.07414430854,-1.2640454779512689,171.88971506261956,113.60650944599648,-0.0462997325660598
CESM2-LENS,historical,r10i1p1f1,-0.5286946567566289,24707.589003184174,-2.733102118327185,157.18647843623248,103.86759396970052,0.0935998952033255
CNRM-CM6-1,historical,r1i1p1f2,-1.592001300524169,46115.38808880919,-5.597199231430676,214.7449372833017,138.9570186098772,-0.1428660591553087
CNRM-CM6-1-HR,historical,r1i1p1f2,-0.7485954006585409,31119.0434239886,-6.927467347330552,176.405905297948,108.1809470875306,0.1268670236196183
CNRM-ESM2-1,historical,r1i1p1f2,-0.5861696366776237,28480.059422780618,-5.258845430996276,168.7603609346123,157.18415784959976,0.4171945530725175
CanESM5,historical,r1i1p1f1,-0.381691529562292,22248.11878513774,-4.113985076758902,149.15803292192393,100.89787845700032,0.3192759608143813
EC-Earth3,historical,r3i1p1f1,-0.3929803775894331,22347.979467764435,-4.681715248426591,149.49240605383417,81.90755174906026,0.0710437934909579
EC-Earth3-Veg,historical,r4i1p1f1,-0.831123612569864,30595.345842614133,-6.50299907289925,174.91525331603913,72.71005693064593,-0.3364046147017854
FGOALS-g3,historical,r1i1p1f1,-0.6247247355527779,24084.77331098837,-4.760370886307748,155.19269735070776,93.65576600990724,0.0887027700993037
GFDL-CM4,historical,r1i1p1f1,-2.430401287680908,53529.43758667108,-7.554664040707112,231.3642962660209,131.4901488576833,-0.411497433195039
GFDL-ESM4,historical,r1i1p1f1,-0.7844217172568755,27537.80840600308,-7.708625139533728,165.945196995885,101.4574771989022,0.0755369021596515
HadGEM3-GC31-LL,historical,r3i1p1f3,-1.2148941874916304,33810.33704072575,-6.371408885042307,183.8758740039752,123.09265671664208,-0.0493744997885402
HadGEM3-GC31-MM,historical,r1i1p1f3,-0.9088943695283872,27408.08926118344,-9.439248243557811,165.55388627629205,112.7134990522078,0.3484963138676307
INM-CM4-8,historical,r1i1p1f1,-1.6196611619209516,44211.59319420827,-4.002977172566015,210.26553020932428,137.3839200059795,-0.2191290265778514
INM-CM5-0,historical,r2i1p1f1,-0.7984170458521482,29981.93910747835,-6.590102286401926,173.15293560167655,115.41686732059476,0.1583661694639784
IPSL-CM6A-LR,historical,r7i1p1f1,-0.1604113316509676,16792.60002992267,-0.787422940001736,129.58626481970484,74.13516482609168,0.2151163139571397
KACE-1-0-G,historical,r3i1p1f1,-0.6282208023713833,25978.219628446204,-7.982628174728859,161.17760275064958,91.40420357033112,0.2050266337464246
MIROC6,historical,r2i1p1f1,-0.9792439955974092,30080.114424462805,-1.0495181208030075,173.43619698454762,151.60183594405646,0.1777798134029006
MPI-ESM1-2-HR,historical,r3i1p1f1,-1.352016939659832,39933.45329873489,-9.208757859511165,199.83356399447737,115.83056205329945,-0.1047839142948361
MPI-ESM1-2-LR,historical,r3i1p1f1,-0.6461729460258012,27202.16588673008,-6.700674468584743,164.93079120264375,90.97173623993274,0.1600469653604426
MRI-ESM2-0,historical,r2i1p1f1,-0.6858537907107969,28164.41059169218,-5.610114646401685,167.82255686197902,82.5680448289716,-0.1023850986163188
NorESM2-LM,historical,r1i1p1f1,-0.5398444719438473,23697.329164650197,-2.2872984611592595,153.9393684690508,118.97281266162358,0.2501338325718754
NorESM2-MM,historical,r2i1p1f1,-1.0463392377437968,35411.1049871795,3.2888529574958545,188.1783860786873,147.1798207738078,0.0647495436624002
TaiESM1,historical,r1i1p1f1,-1.09131526286295,32522.346235106183,0.0142733225735381,180.33953042831783,121.07220944957908,-0.0552536934614093
